                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0049,                0.95488,                 1.2915,                0.91728,                0.89961,                 0.9453,                0.79005,                0.68087,                0.80217,                 1.1082,             0.00073404,             0.00073404,             0.00073404
                     63,                0.98174,                0.95057,                 1.2137,                0.91883,                0.88724,                0.94703,                0.78618,                0.67547,                0.78469,                 1.1041,             0.00073239,             0.00073239,             0.00073239
                     64,                 1.0403,                 1.0022,                 1.2563,                 0.9068,                0.90706,                0.94804,                0.77705,                0.72236,                0.80231,                 1.1271,             0.00073074,             0.00073074,             0.00073074
                     65,                 1.0034,                0.93193,                 1.2161,                0.89494,                0.89226,                0.94662,                0.78864,                0.68296,                0.80079,                   1.11,             0.00072909,             0.00072909,             0.00072909
                     66,                0.93074,                 0.9085,                 1.1852,                0.90958,                0.91422,                0.94774,                0.78751,                0.68984,                0.76736,                 1.1128,             0.00072744,             0.00072744,             0.00072744
                     67,                0.93674,                0.89396,                 1.1966,                0.91751,                0.88538,                0.94228,                 0.7827,                0.69903,                 0.7683,                 1.1106,             0.00072579,             0.00072579,             0.00072579
                     68,                0.92969,                0.89755,                  1.157,                0.90166,                0.90502,                0.94104,                0.75714,                 0.7625,                0.84983,                 1.1464,             0.00072414,             0.00072414,             0.00072414
                     69,                0.98303,                0.94055,                 1.2169,                0.86357,                0.87034,                0.91848,                0.76114,                0.70524,                0.84002,                 1.1116,             0.00072249,             0.00072249,             0.00072249
                     70,                0.92101,                0.91066,                 1.1741,                0.94912,                0.90049,                0.95422,                0.80215,                0.66445,                0.75176,                 1.0958,             0.00072084,             0.00072084,             0.00072084
                     71,                0.90587,                0.85959,                 1.1568,                 0.9079,                0.87034,                0.93775,                0.77174,                0.70272,                0.80861,                 1.1207,              0.0007192,              0.0007192,              0.0007192
                     72,                0.95988,                0.93111,                   1.23,                0.93471,                0.90594,                0.95541,                0.78009,                 0.7751,                0.79969,                 1.1442,             0.00071755,             0.00071755,             0.00071755
                     73,                0.95614,                0.92493,                 1.2551,                0.94539,                0.90878,                 0.9608,                0.81241,                0.65945,                0.72791,                  1.085,              0.0007159,              0.0007159,              0.0007159
                     74,                 0.8752,                0.83392,                  1.154,                0.94744,                0.91201,                0.96055,                0.81634,                 0.6255,                0.70791,                  1.062,             0.00071425,             0.00071425,             0.00071425
                     75,                0.85706,                0.83606,                 1.1747,                0.93727,                0.90814,                0.95393,                0.80719,                0.63781,                0.71356,                 1.0605,              0.0007126,              0.0007126,              0.0007126
                     76,                0.93321,                0.86556,                 1.1717,                0.90848,                0.92207,                0.95101,                0.79791,                0.66658,                0.73973,                  1.079,             0.00071095,             0.00071095,             0.00071095
                     77,                0.88464,                0.85503,                 1.1789,                0.95269,                0.91096,                0.95974,                0.81333,                0.64391,                0.69469,                 1.0651,              0.0007093,              0.0007093,              0.0007093
                     78,                0.91607,                0.83692,                 1.1567,                 0.9483,                 0.9204,                0.96265,                0.79779,                 0.6756,                0.68533,                 1.0732,             0.00070765,             0.00070765,             0.00070765
                     79,                0.96464,                0.87469,                 1.2235,                0.91572,                0.90718,                0.94844,                0.72933,                0.85628,                0.76471,                 1.1761,               0.000706,               0.000706,               0.000706
                     80,                 0.9701,                0.87552,                 1.1791,                0.93276,                0.92047,                0.96007,                0.81427,                0.64321,                 0.7251,                  1.062,             0.00070435,             0.00070435,             0.00070435
                     81,                0.93273,                0.90489,                 1.1779,                0.95444,                0.89553,                0.95589,                0.79426,                0.66178,                 0.7053,                 1.0588,              0.0007027,              0.0007027,              0.0007027
                     82,                0.86892,                0.84201,                  1.134,                0.91285,                0.86411,                0.94106,                0.78265,                0.63672,                0.80147,                  1.047,             0.00070105,             0.00070105,             0.00070105
                     83,                 0.9336,                0.91023,                 1.2177,                0.93989,                0.89822,                0.95338,                0.79326,                0.68424,                0.73467,                 1.0696,              0.0006994,              0.0006994,              0.0006994
                     84,                0.94309,                0.88777,                 1.2023,                0.82043,                0.88618,                0.89973,                0.75668,                0.63982,                0.85103,                 1.0574,             0.00069775,             0.00069775,             0.00069775
                     85,                0.85649,                0.85404,                 1.1177,                0.84436,                0.89945,                0.92175,                0.77452,                0.63702,                0.78466,                 1.0503,              0.0006961,              0.0006961,              0.0006961
                     86,                0.84942,                0.83914,                 1.1474,                0.93925,                0.91382,                0.95991,                0.83078,                 0.5811,                0.67014,                 1.0233,             0.00069446,             0.00069446,             0.00069446
                     87,                0.85027,                0.80466,                 1.1386,                0.92073,                0.91397,                 0.9543,                0.81727,                0.62596,                0.67284,                 1.0435,             0.00069281,             0.00069281,             0.00069281
                     88,                0.81189,                0.79772,                 1.1146,                0.92193,                0.91532,                0.95482,                0.82559,                0.59315,                  0.725,                 1.0225,             0.00069116,             0.00069116,             0.00069116
                     89,                0.83272,                0.80711,                 1.1249,                0.93927,                0.92425,                0.96264,                 0.8312,                0.59307,                0.66989,                 1.0271,             0.00068951,             0.00068951,             0.00068951
                     90,                0.78863,                0.75336,                 1.0707,                0.92018,                0.91951,                0.95739,                0.82718,                0.59034,                0.67278,                 1.0298,             0.00068786,             0.00068786,             0.00068786
                     91,                0.82998,                0.81777,                 1.1402,                0.94804,                0.92037,                0.96033,                0.83561,                0.57169,                 0.6661,                 1.0216,             0.00068621,             0.00068621,             0.00068621
                     92,                 0.8992,                0.81854,                  1.163,                0.92962,                0.92062,                0.95447,                0.79665,                0.66916,                0.66781,                 1.0618,             0.00068456,             0.00068456,             0.00068456
                     93,                0.86397,                 0.7826,                 1.1348,                0.89274,                0.90935,                0.95109,                0.79751,                0.69488,                 0.7228,                 1.0818,             0.00068291,             0.00068291,             0.00068291
                     94,                0.85999,                0.80758,                 1.1295,                0.94506,                0.93054,                 0.9572,                0.81492,                0.61248,                 0.6623,                  1.036,             0.00068126,             0.00068126,             0.00068126
                     95,                0.84352,                0.78642,                  1.102,                0.92294,                0.92791,                0.95609,                0.81438,                0.62205,                 0.6751,                 1.0375,             0.00067961,             0.00067961,             0.00067961
                     96,                0.77515,                0.72939,                 1.0784,                0.95236,                0.92195,                0.96027,                0.83401,                0.58016,                0.61892,                 1.0087,             0.00067796,             0.00067796,             0.00067796
                     97,                0.81348,                0.77149,                 1.0961,                0.94898,                0.92808,                0.96014,                0.83681,                0.56799,                 0.6156,                 1.0042,             0.00067631,             0.00067631,             0.00067631
                     98,                0.80668,                0.77018,                 1.1124,                0.91471,                0.91357,                0.95569,                0.83584,                0.57488,                0.66173,                 1.0079,             0.00067466,             0.00067466,             0.00067466
                     99,                0.79449,                0.75846,                 1.0955,                0.92754,                0.93275,                0.95345,                0.83301,                 0.5589,                 0.6601,                 1.0045,             0.00067301,             0.00067301,             0.00067301
                    100,                0.80918,                 0.7527,                 1.1021,                0.91304,                0.91952,                0.95898,                0.82964,                0.58086,                0.65884,                 1.0155,             0.00067136,             0.00067136,             0.00067136
                    101,                 0.7969,                0.73306,                 1.0866,                0.95619,                0.93231,                0.96469,                0.84069,                 0.5676,                0.59729,                 1.0044,             0.00066972,             0.00066972,             0.00066972
                    102,                0.78944,                0.74624,                 1.0812,                0.94719,                0.92604,                0.96491,                0.83521,                0.58691,                 0.6044,                 1.0138,             0.00066807,             0.00066807,             0.00066807
                    103,                0.79633,                0.71454,                 1.0916,                0.93927,                0.93344,                0.96369,                0.83822,                0.57691,                0.60062,                 1.0088,             0.00066642,             0.00066642,             0.00066642
